merchantId,name,logo,latitude,longitude
f61f9e58-df32-4e41-84ac-409b6f0b7380,Brown Ltd,https://upload.wikimedia.org/wikipedia/commons/d/de/Amazon_icon.png,50.098168,-38.945161
b02edb97-c2e1-4cf5-8de3-d7ddc8b6e4b7,Clark and Sons,https://upload.wikimedia.org/wikipedia/commons/d/de/Amazon_icon.png,23.367303,-47.537186
ee3f6211-194f-4051-8de8-5f37c8d66f7f,Wilson-Ross,https://upload.wikimedia.org/wikipedia/commons/d/de/Amazon_icon.png,55.264283,69.741546
7ff5c8a8-0958-4e0d-9101-64a74b165ed8,Johnson LLC,https://upload.wikimedia.org/wikipedia/commons/d/de/Amazon_icon.png,-70.618881,135.935318
d278e0e7-02d3-49f4-9058-939d83fdc97b,Martinez William and Rivera,https://upload.wikimedia.org/wikipedia/commons/d/de/Amazon_icon.png,-35.212091,140.308308
8ab5a66f-b6a4-45a5-bd24-2de3d0071172,Clark PLC,https://upload.wikimedia.org/wikipedia/commons/d/de/Amazon_icon.png,60.720818,-72.048654
8964998f-7d8a-4d82-a4e4-8c53c5b4f3e6,Smith-Jones,https://upload.wikimedia.org/wikipedia/commons/d/de/Amazon_icon.png,38.238696,-144.249777
8d08ccfa-1331-4bb8-9d7d-01a8699f5373,Johnson Group,https://upload.wikimedia.org/wikipedia/commons/d/de/Amazon_icon.png,12.406465,-37.491084
f3f3ff9f-97a5-4df9-8de0-2b5db79a7b40,Brown Inc,https://upload.wikimedia.org/wikipedia/commons/d/de/Amazon_icon.png,-45.738002,-73.477424
c8ae835a-e9b5-4b69-9b44-515a0bc3dc4f,Anderson Brown and Walker,https://upload.wikimedia.org/wikipedia/commons/d/de/Amazon_icon.png,5.920149,52.941648
c64b52be-e438-4013-b155-225d192adca6,Company 1,https://upload.wikimedia.org/wikipedia/commons/d/de/Amazon_icon.png,50.098168,-38.945161
99fe0c4e-c6a3-4f65-92e7-71e205e2871d,Company 2,https://upload.wikimedia.org/wikipedia/commons/d/de/Amazon_icon.png,23.367303,-47.537186
